--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
LOC-009,Site,contains,BLD-027,Building,Spatial,1:N
LOC-010,Site,contains,BLD-028,Building,Spatial,1:N
LOC-010,Site,contains,BLD-029,Building,Spatial,1:N
LOC-010,Site,contains,BLD-030,Building,Spatial,1:N
LOC-011,Site,contains,BLD-031,Building,Spatial,1:N
LOC-011,Site,contains,BLD-032,Building,Spatial,1:N
LOC-012,Site,contains,BLD-033,Building,Spatial,1:N
LOC-012,Site,contains,BLD-034,Building,Spatial,1:N
LOC-013,Site,contains,BLD-035,Building,Spatial,1:N
LOC-013,Site,contains,BLD-036,Building,Spatial,1:N
LOC-014,Site,contains,BLD-037,Building,Spatial,1:N
LOC-014,Site,contains,BLD-038,Building,Spatial,1:N
LOC-015,Site,contains,BLD-039,Building,Spatial,1:N
LOC-015,Site,contains,BLD-040,Building,Spatial,1:N
LOC-016,Site,contains,BLD-041,Building,Spatial,1:N
LOC-016,Site,contains,BLD-042,Building,Spatial,1:N
LOC-017,Site,contains,BLD-043,Building,Spatial,1:N
LOC-017,Site,contains,BLD-044,Building,Spatial,1:N
LOC-018,Site,contains,BLD-045,Building,Spatial,1:N
LOC-018,Site,contains,BLD-046,Building,Spatial,1:N
LOC-019,Site,contains,BLD-047,Building,Spatial,1:N
LOC-019,Site,contains,BLD-048,Building,Spatial,1:N
LOC-020,Site,contains,BLD-049,Building,Spatial,1:N
LOC-020,Site,contains,BLD-050,Building,Spatial,1:N
LOC-001,Site,hosts_asset,AST-001,Asset,Spatial,1:N
LOC-002,Site,hosts_asset,AST-002,Asset,Spatial,1:N
LOC-002,Site,hosts_asset,AST-003,Asset,Spatial,1:N
LOC-003,Site,hosts_asset,AST-004,Asset,Spatial,1:N
LOC-003,Site,hosts_asset,AST-005,Asset,Spatial,1:N
LOC-004,Site,hosts_asset,AST-006,Asset,Spatial,1:N
LOC-004,Site,hosts_asset,AST-007,Asset,Spatial,1:N
LOC-005,Site,hosts_asset,AST-008,Asset,Spatial,1:N
LOC-005,Site,hosts_asset,AST-009,Asset,Spatial,1:N
LOC-006,Site,hosts_asset,AST-010,Asset,Spatial,1:N
LOC-006,Site,hosts_asset,AST-011,Asset,Spatial,1:N
LOC-007,Site,hosts_asset,AST-012,Asset,Spatial,1:N
LOC-007,Site,hosts_asset,AST-013,Asset,Spatial,1:N
LOC-008,Site,hosts_asset,AST-014,Asset,Spatial,1:N
LOC-008,Site,hosts_asset,AST-015,Asset,Spatial,1:N
LOC-009,Site,hosts_asset,AST-016,Asset,Spatial,1:N
LOC-009,Site,hosts_asset,AST-017,Asset,Spatial,1:N
LOC-010,Site,hosts_asset,AST-018,Asset,Spatial,1:N
LOC-010,Site,hosts_asset,AST-019,Asset,Spatial,1:N
LOC-011,Site,hosts_asset,AST-020,Asset,Spatial,1:N
LOC-011,Site,hosts_asset,AST-021,Asset,Spatial,1:N
LOC-012,Site,hosts_asset,AST-022,Asset,Spatial,1:N
LOC-013,Site,hosts_asset,AST-023,Asset,Spatial,1:N
LOC-014,Site,hosts_asset,AST-024,Asset,Spatial,1:N
LOC-014,Site,hosts_asset,AST-025,Asset,Spatial,1:N
LOC-015,Site,hosts_asset,AST-026,Asset,Spatial,1:N
LOC-016,Site,hosts_asset,AST-027,Asset,Spatial,1:N
LOC-017,Site,hosts_asset,AST-028,Asset,Spatial,1:N
LOC-017,Site,hosts_asset,AST-029,Asset,Spatial,1:N
LOC-018,Site,hosts_asset,AST-030,Asset,Spatial,1:N
LOC-019,Site,hosts_asset,AST-031,Asset,Spatial,1:N
VEN-001,Vendor,services,ROLE-016,Role,Operational,N:1
VEN-002,Vendor,services,ROLE-016,Role,Operational,N:1
VEN-003,Vendor,services,ROLE-016,Role,Operational,N:1
VEN-004,Vendor,services,ROLE-016,Role,Operational,N:1
VEN-005,Vendor,services,ROLE-013,Role,Operational,N:1
VEN-006,Vendor,services,ROLE-011,Role,Operational,N:1
VEN-007,Vendor,services,ROLE-011,Role,Operational,N:1
VEN-008,Vendor,services,ROLE-009,Role,Operational,N:1
VEN-009,Vendor,services,ROLE-009,Role,Operational,N:1
VEN-010,Vendor,services,ROLE-007,Role,Operational,N:1
VEN-011,Vendor,services,ROLE-010,Role,Operational,N:1
VEN-012,Vendor,services,ROLE-014,Role,Operational,N:1
RSK-002,Risk,governed_by_clause,INSC-001,InsuranceClause,Operational,1:N
CTRL-005,Control,supports_clause,INSC-001,InsuranceClause,Operational,N:1
RSK-013,Risk,governed_by_clause,INSC-002,InsuranceClause,Operational,1:N
CTRL-004,Control,supports_clause,INSC-002,InsuranceClause,Operational,N:1
RSK-001,Risk,governed_by_clause,INSC-003,InsuranceClause,Operational,1:N
CTRL-021,Control,supports_clause,INSC-003,InsuranceClause,Operational,N:1
RSK-007,Risk,governed_by_clause,INSC-004,InsuranceClause,Operational,1:N
CTRL-013,Control,supports_clause,INSC-004,InsuranceClause,Operational,N:1
RSK-005,Risk,governed_by_clause,INSC-005,InsuranceClause,Operational,1:N
CTRL-015,Control,supports_clause,INSC-005,InsuranceClause,Operational,N:1
RSK-006,Risk,governed_by_clause,INSC-006,InsuranceClause,Operational,1:N
CTRL-014,Control,supports_clause,INSC-006,InsuranceClause,Operational,N:1
RSK-015,Risk,governed_by_clause,INSC-007,InsuranceClause,Operational,1:N
CTRL-013,Control,supports_clause,INSC-007,InsuranceClause,Operational,N:1
RSK-011,Risk,governed_by_clause,INSC-008,InsuranceClause,Operational,1:N
CTRL-029,Control,supports_clause,INSC-008,InsuranceClause,Operational,N:1
RSK-012,Risk,governed_by_clause,INSC-009,InsuranceClause,Operational,1:N
CTRL-030,Control,supports_clause,INSC-009,InsuranceClause,Operational,N:1
RSK-016,Risk,governed_by_clause,INSC-010,InsuranceClause,Operational,1:N
CTRL-004,Control,supports_clause,INSC-010,InsuranceClause,Operational,N:1
RSK-010,Risk,governed_by_clause,INSC-011,InsuranceClause,Operational,1:N
CTRL-017,Control,supports_clause,INSC-011,InsuranceClause,Operational,N:1
RSK-014,Risk,governed_by_clause,INSC-012,InsuranceClause,Operational,1:N
CTRL-023,Control,supports_clause,INSC-012,InsuranceClause,Operational,N:1
RSK-004,Risk,governed_by_clause,INSC-013,InsuranceClause,Operational,1:N
CTRL-012,Control,supports_clause,INSC-013,InsuranceClause,Operational,N:1
RSK-009,Risk,governed_by_clause,INSC-014,InsuranceClause,Operational,1:N
CTRL-008,Control,supports_clause,INSC-014,InsuranceClause,Operational,N:1
RSK-008,Risk,governed_by_clause,INSC-015,InsuranceClause,Operational,1:N
CTRL-021,Control,supports_clause,INSC-015,InsuranceClause,Operational,N:1


--- WORKSHEET: 17_Risk_Register ---

RiskID,Name,Category,Likelihood,Impact,Risk Level
RSK-001,Fire outbreak in racking/storage area,Fire Safety,Possible,Severe,Critical
RSK-002,Failure of fire suppression system on demand,Fire Safety,Unlikely,Severe,High
RSK-003,Blocked or obstructed means of escape,Fire Safety,Possible,Major,High
RSK-004,Forklift/MHE collision causing injury,Health & Safety,Likely,Major,High
RSK-005,Battery charging area thermal runaway,Health & Safety,Unlikely,Severe,High
RSK-006,Hazardous chemical spill or improper storage,Environmental,Possible,Major,High
RSK-007,Electrical fault / transformer fire,Fire Safety,Possible,Severe,Critical
RSK-008,Rack collapse due to overloading,Health & Safety,Unlikely,Major,Medium
RSK-009,Inadequate emergency evacuation,Health & Safety,Rare,Severe,Medium
RSK-010,Waste accumulation increasing fire fuel load,Fire Safety,Possible,Moderate,Medium
RSK-011,Fire NOC / statutory certificate lapse,Compliance,Possible,Major,High
RSK-012,Insurance policy warranty non-conformance,Compliance,Possible,Major,High
RSK-013,Inadequate fire water supply / pump pressure,Fire Safety,Unlikely,Severe,High
RSK-014,Environmental discharge / emission non-compliance,Environmental,Unlikely,Major,Medium
RSK-015,Power outage disrupting fire/life-safety systems,Operational,Possible,Major,High
RSK-016,Vendor/AMC non-performance on critical fire assets,Operational,Possible,Moderate,Medium


--- WORKSHEET: 18_Roles_Master ---

RoleID,Title,Business Unit,Department,Approval Authority (Y/N)
ROLE-001,Warehouse Operations Manager,Warehouse Operations,Site Operations,N
ROLE-002,Shift Warehouse Supervisor,Warehouse Operations,Site Operations,N
ROLE-003,EHS Officer (Site),EHS,Safety,N
ROLE-004,EHS Manager (Regional),EHS,Safety,Y
ROLE-005,Fire & Safety Officer,EHS,Fire & Life Safety,N
ROLE-006,Fire & Safety Manager,EHS,Fire & Life Safety,Y
ROLE-007,Facilities Executive,Facilities Management,FM Operations,N
ROLE-008,Facilities Manager,Facilities Management,FM Operations,Y
ROLE-009,MEP / Utilities Engineer,Facilities Management,Utilities,N
ROLE-010,Hazardous Materials Coordinator,EHS,Hazmat & Chemical Safety,N
ROLE-011,Waste Management Coordinator,Facilities Management,Waste Management,N
ROLE-012,Emergency Response Team Lead,EHS,Emergency Response,Y
ROLE-013,Security & Access Control Officer,Security,Site Security,N
ROLE-014,Insurance & Risk Compliance Manager,Risk & Insurance,Risk Management,Y
ROLE-015,Regional Compliance Head,Compliance,Compliance,Y
ROLE-016,Fire Suppression Vendor Coordinator (AMC),Facilities Management,Vendor Management,N


--- WORKSHEET: 19_Asset_Equipment_Master ---

AssetID,Name,Category,Type,SiteID,BuildingID,ZoneID,RoomID
AST-001,Fire Hydrant System,Fire Suppression,Asset,LOC-001,BLD-002,ZN-004,RM-004
AST-002,Fire Hose Reel Cabinet,Fire Suppression,Asset,LOC-002,BLD-004,ZN-007,RM-007
AST-003,Sprinkler Riser Assembly,Fire Suppression,Asset,LOC-002,BLD-005,ZN-010,RM-010
AST-004,ESFR Sprinkler Head Array,Fire Suppression,Asset,LOC-003,BLD-007,ZN-013,RM-013
AST-005,Fire Pump - Diesel Engine Driven,Fire Suppression,Equipment,LOC-003,BLD-008,ZN-016,RM-016
AST-006,Fire Pump - Electric Motor Driven,Fire Suppression,Equipment,LOC-004,BLD-010,ZN-019,RM-019
AST-007,Jockey Pump Assembly,Fire Suppression,Equipment,LOC-004,BLD-011,ZN-022,RM-022
AST-008,Fire Extinguisher - ABC Dry Powder,Fire Suppression,Equipment,LOC-005,BLD-013,ZN-025,RM-025
AST-009,Fire Extinguisher - CO2 Type,Fire Suppression,Equipment,LOC-005,BLD-014,ZN-028,RM-028
AST-010,FM200 Clean Agent System (Server/Panel Room),Fire Suppression,Equipment,LOC-006,BLD-016,ZN-031,RM-031
AST-011,Smoke Detector Panel,Fire Detection,Equipment,LOC-006,BLD-017,ZN-034,RM-034
AST-012,Heat Detector Array,Fire Detection,Equipment,LOC-007,BLD-019,ZN-037,RM-037
AST-013,Fire Alarm Control Panel,Fire Detection,Equipment,LOC-007,BLD-020,ZN-040,RM-040
AST-014,PA / Voice Evacuation System,Fire Detection,Equipment,LOC-008,BLD-022,ZN-043,RM-043
AST-015,Emergency Lighting & Exit Signage,Emergency Response,Asset,LOC-008,BLD-023,ZN-046,RM-046
AST-016,Assembly Point Signage & Muster Station,Emergency Response,Asset,LOC-009,BLD-025,ZN-049,RM-049
AST-017,First Aid & Spill Kit Station,Emergency Response,Asset,LOC-009,BLD-026,ZN-052,RM-052
AST-018,Forklift / MHE Unit,EHS Operations,Asset,LOC-010,BLD-028,ZN-055,RM-055
AST-019,Pallet Racking System,Facilities,Asset,LOC-010,BLD-029,ZN-058,RM-058
AST-020,Loading Dock Leveler,Facilities,Asset,LOC-011,BLD-031,ZN-061,RM-061
AST-021,Battery Charging Station (MHE),EHS Operations,Asset,LOC-011,BLD-032,ZN-064,RM-064
AST-022,Electrical Distribution Panel,Utilities,Equipment,LOC-012,BLD-034,ZN-067,RM-067
AST-023,Transformer Unit,Utilities,Equipment,LOC-013,BLD-035,ZN-070,RM-070
AST-024,Diesel Generator (DG) Backup Set,Utilities,Equipment,LOC-014,BLD-037,ZN-073,RM-073
AST-025,Effluent / STP Treatment Plant,Environmental,Asset,LOC-014,BLD-038,ZN-076,RM-076
AST-026,Hazardous Waste Storage Shed,Waste Management,Asset,LOC-015,BLD-040,ZN-079,RM-079
AST-027,Waste Compactor,Waste Management,Equipment,LOC-016,BLD-041,ZN-082,RM-082
AST-028,CCTV Surveillance Camera,Security,Asset,LOC-017,BLD-043,ZN-085,RM-085
AST-029,Access Control System,Security,Asset,LOC-017,BLD-044,ZN-088,RM-088
AST-030,Water Storage Tank (Fire Reserve),Fire Suppression,Asset,LOC-018,BLD-046,ZN-091,RM-091
AST-031,HVAC / Air Handling Unit,Utilities,Equipment,LOC-019,BLD-047,ZN-094,RM-094


--- WORKSHEET: 20_Vendor_Master ---

VendorID,Vendor Name,Service Type,Sites Covered,Contract Reference,SLA (Response Time),AMC Start Date,AMC Expiry Date,Internal Coordinator (RoleID)
VEN-001,FirePro Suppression Systems Pvt Ltd,Fire Suppression AMC (Hydrant/Sprinkler/Pump),India Sites (LOC-001 to LOC-010),AMC-FS-IND-2026-01,4 hours (critical fault),2026-01-01,2027-12-31,ROLE-016
VEN-002,Chubb Fire & Security Ltd,Fire Detection & Alarm AMC,UK Sites (LOC-011 to LOC-020),AMC-FA-UK-2026-02,4 hours (critical fault),2026-01-01,2027-12-31,ROLE-016
VEN-003,Kidde India Fire Protection,"Fire Extinguisher Supply, Inspection & Recharge",India Sites (LOC-001 to LOC-010),AMC-FE-IND-2026-03,48 hours (routine),2026-01-01,2026-12-31,ROLE-016
VEN-004,Wormald UK Fire Solutions,Fire Extinguisher & Hose Reel Servicing,UK Sites (LOC-011 to LOC-020),AMC-FE-UK-2026-04,48 hours (routine),2026-01-01,2026-12-31,ROLE-016
VEN-005,SecureGuard Integrated Security Services,"CCTV, Access Control & Manned Guarding",All Sites (LOC-001 to LOC-020),SEC-ALL-2026-05,2 hours (breach/alarm),2026-01-01,2027-06-30,ROLE-013
VEN-006,GreenCycle Waste Management Ltd,General & Hazardous Waste Collection and Disposal,India Sites (LOC-001 to LOC-010),WM-IND-2026-06,24 hours (collection),2026-01-01,2026-12-31,ROLE-011
VEN-007,Veolia UK Environmental Services,"Hazardous Waste Collection, Manifest & Disposal",UK Sites (LOC-011 to LOC-020),WM-UK-2026-07,24 hours (collection),2026-01-01,2026-12-31,ROLE-011
VEN-008,PowerServe Generator & Electrical Services,"DG Set, Transformer & Electrical Panel AMC",All Sites (LOC-001 to LOC-020),MEP-ALL-2026-08,6 hours (critical fault),2026-01-01,2027-12-31,ROLE-009
VEN-009,ClimaTech HVAC Solutions,HVAC / Ventilation Preventive Maintenance,All Sites (LOC-001 to LOC-020),HVAC-ALL-2026-09,24 hours (routine),2026-01-01,2026-12-31,ROLE-009
VEN-010,SafeStack Racking Inspection Services,Racking Structural Safety Inspection (SEMA/RSI Certified),All Sites (LOC-001 to LOC-020),RACK-ALL-2026-10,10 business days (scheduled),2026-01-01,2026-12-31,ROLE-007
VEN-011,EnviroLab Testing Services,"Effluent, STP & Air Emission Testing Laboratory",All Sites (LOC-001 to LOC-020),LAB-ALL-2026-11,5 business days (report turnaround),2026-01-01,2026-12-31,ROLE-010
VEN-012,Marsh Risk Engineering & Loss Control,Insurance Risk Engineering Survey & Warranty Advisory,All Sites (LOC-001 to LOC-020),INS-ALL-2026-12,30 days (survey cycle),2026-01-01,2026-12-31,ROLE-014


--- WORKSHEET: 21_Insurance_Risk_Clauses ---

ClauseRefID,Linked RiskID,Insurer Requirement / Warranty,Policy / Clause Reference,Linked ControlID,Compliance Basis,Premium Impact if Non-Conformant
INSC-001,RSK-002,Automatic Sprinkler Installation Warranty (ESFR/in-rack per NFPA 13),Property Damage / Business Interruption Policy - Clause 7.2,CTRL-005,Non-conformance voids fire damage cover for affected zone,High - up to 15% loading if warranty breached
INSC-002,RSK-013,Fire Pump & Hydrant Impairment Notification Clause,Property Policy - Clause 7.4,CTRL-004,Insurer must be notified within 24 hours of any impairment exceeding 10 hours,Medium - impairment surcharge if unreported
INSC-003,RSK-001,Housekeeping & Storage Height Warranty (clear space below sprinkler deflectors),Property Policy - Clause 7.6,CTRL-021,Non-conformance is a common cause of claim repudiation,High - repudiation risk on claim
INSC-004,RSK-007,Hot Work Permit Warranty,Property Policy - Clause 7.9,CTRL-013,All hot work must follow a documented permit-to-work system,Medium - 5-10% loading if uncontrolled hot work found
INSC-005,RSK-005,Battery Charging / Li-ion Storage Declaration Clause,Property Policy - Special Condition 3,CTRL-015,Undeclared battery charging areas may be excluded from cover,High - potential exclusion of loss
INSC-006,RSK-006,COSHH / Hazardous Substance Declaration Clause,Public & Products Liability Policy - Clause 4.1,CTRL-014,Insured must declare all hazardous substances above threshold quantities,Medium - premium reassessment on non-declaration
INSC-007,RSK-015,Security & Unattended Premises Warranty (alarm response),Property Policy - Clause 8.1,CTRL-013,Alarm systems must be maintained and monitored per agreed response SLA,Medium - theft/malicious damage cover impact
INSC-008,RSK-011,Statutory Compliance Warranty (Fire NOC / Building Consent current),Property & Liability Master Policy - Clause 2.3,CTRL-029,Lapse in statutory fire certification may void cover for the affected site,Critical - full cover risk at lapsed site
INSC-009,RSK-012,Risk Improvement Recommendation Closure Clause,Property Policy - Clause 9.1,CTRL-030,Outstanding risk engineering recommendations beyond agreed timeline trigger premium review,High - renewal premium loading
INSC-010,RSK-016,Third-Party Maintenance Warranty (Fire System AMC Currency),Property Policy - Clause 7.3,CTRL-004,Fire suppression/detection AMC must remain current with a competent contractor,Medium - claim repudiation risk if AMC lapsed
INSC-011,RSK-010,Waste Accumulation / Fire Load Management Clause,Property Policy - Clause 7.7,CTRL-017,Combustible waste must not accumulate beyond agreed fire-load limits,Medium - premium loading on repeated breach
INSC-012,RSK-014,Environmental Impairment Liability Declaration Clause,Environmental Liability Policy - Clause 3.2,CTRL-023,Effluent/emission non-compliance must be disclosed at each renewal,Medium - separate EIL premium adjustment
INSC-013,RSK-004,Employers' Liability / MHE Operator Certification Warranty,Employers Liability Policy - Clause 5.1,CTRL-012,All MHE operators must hold current certification on file,Medium - claims defensibility impact
INSC-014,RSK-009,Business Continuity Plan Currency Warranty,Business Interruption Policy - Clause 6.4,CTRL-008,BCP and evacuation plans must be reviewed and drilled at least annually,Low-Medium - indemnity period assumptions
INSC-015,RSK-008,Racking Inspection Certification Warranty (SEMA/RSI),Property Policy - Clause 7.8,CTRL-021,Independent racking inspection certificate must be renewed annually,Medium - stock/property damage cover impact


--- WORKSHEET: 22_Data_Dictionary ---

Field Name,Worksheet(s),Data Type,Description,Allowed Values,Relationship Purpose
TaskID,09_Task_Master,Text (TSK-nnnn),Unique identifier for an operational task,"Prefixed, zero-padded, unique","Primary key for Worksheet 09; foreign key in 13, 14, 15, 16"
Task Name,09_Task_Master,Text,Human-readable name of the task,Free text,Display label
Compliance Area,09_Task_Master,Text (FK),Compliance domain the task belongs to,CA-nnn,Foreign key to Worksheet 07
Control ID,09_Task_Master,Text (FK),Operational control the task implements,CTRL-nnn,Foreign key to Worksheet 08
Obligation ID,09_Task_Master,Text (FK),Regulatory obligation satisfied by the task,OBL-nnnn,Foreign key to Worksheet 06
Clause ID,09_Task_Master,Text (FK),Clause underpinning the obligation,CLA-nnnn,Foreign key to Worksheet 05
Authority ID,09_Task_Master,Text (FK),Regulatory authority of record,AUTH-nnn,Foreign key to Worksheet 02
Regulation ID,09_Task_Master,Text (FK),Regulation of record,REG-nnn,Foreign key to Worksheet 03
Standard ID,09_Task_Master,Text (FK),Standard of record,STD-nnn,Foreign key to Worksheet 04
Risk ID,09_Task_Master,Text (FK),Risk mitigated by the task,RSK-nnn,Foreign key to Worksheet 17
Hazard,09_Task_Master,Text,Hazard description associated with the risk,Free text,Descriptive
Business Unit,09_Task_Master,Text (FK),Owning business unit,Controlled list,Foreign key to Worksheet 10
Department,09_Task_Master,Text (FK),Owning department,Controlled list,Foreign key to Worksheet 10
Responsible Role ID,09_Task_Master,Text (FK),Role accountable for execution,ROLE-nnn,Foreign key to Worksheet 18
Assigned User,09_Task_Master,Text,Team/user assigned at runtime,Free text,Runtime assignment placeholder
Approval Authority,09_Task_Master,Text,Role that approves/signs off the task output,Free text / role title,Sign-off authority
Frequency,09_Task_Master / 13_Schedule_Rules,Text (Enum),Recurrence of the task,"Hourly, Daily, Weekly, Fortnightly, Monthly, Quarterly, Half-Yearly, Annual, Event Based, Condition Based, Sensor Triggered, Risk Triggered, AI Triggered",Drives Worksheet 14 calendar generation
Schedule Type,09_Task_Master / 13_Schedule_Rules,Text (Enum),Whether the schedule is fixed-calendar or condition-triggered,"Fixed, Triggered",Derived from Frequency
Calendar Rule,09_Task_Master / 13_Schedule_Rules,Text,Rule applied to mark Worksheet 14,Free text,Documents the Calendar Generation Algorithm applied
Due Date,09_Task_Master,Text,Reference to schedule-derived due date,Free text,Resolved via Worksheet 13
SLA,09_Task_Master,Text,Service level for closing out the task,Free text (duration),Escalation trigger basis
Escalation Rule,09_Task_Master,Text,Rule for escalating an overdue/failed task,Free text,References Approval Authority
Site,09_Task_Master / 11_Spatial_Mapping,Text (FK),Industrial Park site where task is performed,LOC-nnn,Foreign key to Worksheet 11
Building,09_Task_Master / 11_Spatial_Mapping,Text (FK),Warehouse building within the site,BLD-nnn,Foreign key to Worksheet 11
Floor,09_Task_Master / 11_Spatial_Mapping,Text,Floor level,Free text/number,Spatial hierarchy attribute
Zone,09_Task_Master / 11_Spatial_Mapping,Text (FK),Zone within the building,ZN-nnn,Foreign key to Worksheet 11
Area,09_Task_Master / 11_Spatial_Mapping,Text,Named area/room,Free text,Spatial hierarchy attribute
Process,09_Task_Master,Text,Business process the task supports,Free text,Descriptive
Asset ID,09_Task_Master / 19_Asset_Equipment_Master,Text (FK),Asset/equipment involved,AST-nnn,Foreign key to Worksheet 19
Equipment,09_Task_Master / 19_Asset_Equipment_Master,Text,Equipment name,Free text,"Descriptive, denormalized from Worksheet 19"
Checklist ID,09_Task_Master / 12_Checklist_Template_Mapping,Text (FK),Checklist/template used for evidence capture,CHK-nnn,Foreign key to Worksheet 12
Inspection Form,09_Task_Master,Text,Name of the inspection form used,Free text,Denormalized from Worksheet 12
SOP Reference,09_Task_Master,Text,Standard Operating Procedure reference code,SOP-CA-nnn-nnn,Descriptive
Template ID,09_Task_Master,Text (FK),Evidence template identifier,CHK-nnn,Foreign key to Worksheet 12
Evidence Type,09_Task_Master,Text (Enum),Type of evidence captured on completion,"Photo, Digital Signature, Sensor Reading, Lab Report, Form",Drives evidence capture UI
Digital Signature Required (Y/N),09_Task_Master,Boolean (Y/N),Whether closing the task requires a digital signature,"Y, N",Controlled vocabulary
Execution Method,09_Task_Master,Text (Enum),How the task is executed in the field,"Manual, Mobile, Tablet, QR Code, Barcode, IoT Sensor, API, AI Vision, Digital Twin",Controlled vocabulary
Priority,09_Task_Master,Text (Enum),Task priority,"High, Medium, Low",Controlled vocabulary; drives dropdown
Duration,09_Task_Master,Number (minutes),Expected duration to complete the task,Positive integer,Planning estimate
Output Type,09_Task_Master,Text (Enum),Category of the recorded outcome,"Pass/Fail, Observation, Deviation/NCR, CAPA, Escalation, Audit Evidence",Controlled vocabulary; drives dropdown
Week01...Week52,14_52Wk_Calendar,Text (Y / Triggered / blank),Whether the task is scheduled in that ISO calendar week,"Y, Triggered, blank",Generated per the Calendar Generation Algorithm
Anchor Week/Date,13_Schedule_Rules,Text,Reference week/date the schedule is calculated from,Week nn or N/A for triggered,Makes calendar regeneration reproducible
Trigger Condition,13_Schedule_Rules,Text,Condition that fires a triggered-frequency task,Free text,Required for Event/Condition/Sensor/Risk/AI Triggered
From_ID / To_ID,16_Relationship_Matrix,Text (FK),Endpoints of a directed relationship between two entities,Any entity ID,Generic graph edge representation
